Nama,Angkatan,Kehadiran,Tugas,UTS,UAS,IPK,Prediksi
Mahasiswa_2020_1,2020,70,93,60,58,2.67,Telat
Mahasiswa_2020_2,2020,78,79,94,72,3.22,Tepat
Mahasiswa_2020_3,2020,73,99,81,98,3.62,Tepat
Mahasiswa_2020_4,2020,92,97,97,88,3.72,Tepat
Mahasiswa_2020_5,2020,73,60,92,95,3.4,Tepat
Mahasiswa_2020_6,2020,97,72,74,68,2.94,Tepat
Mahasiswa_2020_7,2020,99,92,56,85,3.16,Tepat
Mahasiswa_2020_8,2020,73,84,96,85,3.48,Tepat
Mahasiswa_2020_9,2020,77,75,97,77,3.3,Tepat
Mahasiswa_2020_10,2020,94,63,95,93,3.51,Tepat
Mahasiswa_2020_11,2020,99,98,93,66,3.35,Tepat
Mahasiswa_2020_12,2020,86,63,93,70,3.08,Tepat
Mahasiswa_2020_13,2020,70,96,57,98,3.3,Telat
Mahasiswa_2020_14,2020,94,73,77,84,3.23,Tepat
Mahasiswa_2020_15,2020,80,66,64,83,2.94,Tepat
Mahasiswa_2020_16,2020,79,90,96,87,3.58,Tepat
Mahasiswa_2020_17,2020,89,69,61,85,3.0,Tepat
Mahasiswa_2020_18,2020,81,73,83,81,3.2,Tepat
Mahasiswa_2020_19,2020,93,81,61,99,3.34,Tepat
Mahasiswa_2020_20,2020,88,73,72,68,2.89,Tepat
Mahasiswa_2020_21,2020,73,78,64,96,3.22,Tepat
Mahasiswa_2020_22,2020,76,74,82,63,2.89,Telat
Mahasiswa_2020_23,2020,75,70,61,96,3.13,Telat
Mahasiswa_2020_24,2020,86,87,85,71,3.2,Tepat
Mahasiswa_2020_25,2020,98,80,73,90,3.35,Tepat
Mahasiswa_2020_26,2020,90,95,78,84,3.4,Tepat
Mahasiswa_2020_27,2020,78,92,82,74,3.22,Telat
Mahasiswa_2020_28,2020,76,69,73,73,2.9,Telat
Mahasiswa_2020_29,2020,90,94,97,67,3.35,Tepat
Mahasiswa_2020_30,2020,71,99,68,79,3.16,Tepat
Mahasiswa_2020_31,2020,71,75,98,90,3.5,Tepat
Mahasiswa_2020_32,2020,85,77,77,64,2.9,Tepat
Mahasiswa_2020_33,2020,75,67,87,83,3.21,Tepat
Mahasiswa_2020_34,2020,80,74,88,77,3.2,Tepat
Mahasiswa_2020_35,2020,79,78,97,79,3.37,Tepat
Mahasiswa_2020_36,2020,91,85,70,89,3.31,Tepat
Mahasiswa_2020_37,2020,99,89,64,64,2.9,Tepat
Mahasiswa_2020_38,2020,96,67,97,75,3.28,Tepat
Mahasiswa_2020_39,2020,76,94,70,98,3.46,Telat
Mahasiswa_2020_40,2020,76,70,82,89,3.27,Tepat
Mahasiswa_2020_41,2020,92,60,95,74,3.17,Tepat
Mahasiswa_2020_42,2020,91,85,72,76,3.12,Tepat
Mahasiswa_2020_43,2020,74,66,76,60,2.7,Telat
Mahasiswa_2020_44,2020,76,96,80,69,3.14,Tepat
Mahasiswa_2020_45,2020,84,85,72,76,3.1,Tepat
Mahasiswa_2020_46,2020,74,76,95,88,3.45,Tepat
Mahasiswa_2020_47,2020,72,69,73,96,3.25,Telat
Mahasiswa_2020_48,2020,73,92,60,84,3.09,Telat
Mahasiswa_2020_49,2020,90,64,59,69,2.68,Telat
Mahasiswa_2020_50,2020,93,76,88,82,3.35,Tepat
Mahasiswa_2020_51,2020,71,73,66,87,3.05,Telat
Mahasiswa_2020_52,2020,90,85,67,74,3.03,Tepat
Mahasiswa_2020_53,2020,79,80,79,75,3.1,Telat
Mahasiswa_2020_54,2020,89,90,81,79,3.31,Tepat
Mahasiswa_2020_55,2020,88,77,74,91,3.31,Tepat
Mahasiswa_2020_56,2020,86,91,65,81,3.15,Tepat
Mahasiswa_2020_57,2020,95,86,68,86,3.26,Tepat
Mahasiswa_2020_58,2020,71,96,55,93,3.2,Telat
